Nome,Telefone,Bairro,Avaliação Google,Nº Avaliações,Google Maps,Script Versão,Status,Data Msg 1,Data Follow-up,Data Encerramento,Resposta do Lead,Observações
Barbearia Dom Bosco,+55 11 94971-9001,Vila Carmosina,4,2,https://www.google.com/maps/search/?api=1&query=Barbearia%20Dom%20Bosco&query_place_id=ChIJka3z1ERnzpQRrjnF8Q0bGPE,,Não contactado,,,,,
BARBEARIA MR.AMANCIO,+55 11 98424-7518,Itaquera,,,https://www.google.com/maps/search/?api=1&query=BARBEARIA%20MR.AMANCIO&query_place_id=ChIJP0umvUVnzpQRBWoDuHExJ0U,,Não contactado,,,,,
Latinos Barbearia,+55 11 98799-8696,Jardim Santa Teresinha,5,14,https://www.google.com/maps/search/?api=1&query=Latinos%20Barbearia&query_place_id=ChIJefwl6eFnzpQR8-KzO2DjVso,,Não contactado,,,,,
Barbearia da Villa,+55 11 94713-4008,Itaquera,,,https://www.google.com/maps/search/?api=1&query=Barbearia%20da%20Villa&query_place_id=ChIJf1FhcUxnzpQRNXY3BbWXF9g,,Não contactado,,,,,
Léo Salão barbearia L&L,+55 11 97076-0570,Itaquera,5,1,https://www.google.com/maps/search/?api=1&query=L%C3%A9o%20Sal%C3%A3o%20barbearia%20L%26L&query_place_id=ChIJj5pLHwBnzpQR01ofEI_ZwN4,,Não contactado,,,,,
Barber shop Trix,+55 11 96124-5577,Parque Cisper,5,1,https://www.google.com/maps/search/?api=1&query=Barber%20shop%20Trix&query_place_id=ChIJv9W-b-NhzpQRfSQc4fr3dBw,,Não contactado,,,,,
Global Hair,+55 11 95359-2138,Pinheiros,3.7,3,https://www.google.com/maps/search/?api=1&query=Global%20Hair&query_place_id=ChIJLbgB-aBXzpQRRA2RzS4wQg0,,Não contactado,,,,,
Tarcisio Barbearia,+55 11 95461-2343,Jardim Felicidade(Zona Norte),5,18,https://www.google.com/maps/search/?api=1&query=Tarcisio%20Barbearia&query_place_id=ChIJ28mZFsb3zpQRpg2JKWucr4E,,Não contactado,,,,,
Barbearia os’parças,+55 11 94872-0527,Jardim Felicidade(Zona Norte),4.7,43,https://www.google.com/maps/search/?api=1&query=Barbearia%20os%E2%80%99par%C3%A7as&query_place_id=ChIJAZLmaTf0zpQRmkOIHVna5j0,,Não contactado,,,,,
js barber,+55 11 99765-1313,Jardim Felicidade (Zona Norte),4.6,11,https://www.google.com/maps/search/?api=1&query=js%20barber&query_place_id=ChIJScsnqMr1zpQRS0DLv7zkqEI,,Não contactado,,,,,
Barbearia mdp,+55 11 97955-7633,Jardim Pinheiros,5,2,https://www.google.com/maps/search/?api=1&query=Barbearia%20mdp&query_place_id=ChIJp1fu2UBXzpQRw_H-9uTxZbQ,,Não contactado,,,,,
Barbearia Conventi II,+55 11 94643-5953,Mooca,4.9,214,https://www.google.com/maps/search/?api=1&query=Barbearia%20Conventi%20II&query_place_id=ChIJWd8PtnhZzpQRdou_qSEpY1I,,Não contactado,,,,,
Corvino Barbearia,+55 11 94014-3525,Mooca,4.9,46,https://www.google.com/maps/search/?api=1&query=Corvino%20Barbearia&query_place_id=ChIJMw7Ag4FZzpQR0tb7r3-8jIA,,Não contactado,,,,,
Ramos Cabeleireiros & barbearia,+55 11 99804-2389,Mooca,4.9,124,https://www.google.com/maps/search/?api=1&query=Ramos%20Cabeleireiros%20%26%20barbearia&query_place_id=ChIJvWE-HUZZzpQRp2ugrc1cpJk,,Não contactado,,,,,
Charles Cabeleireiros,+55 11 5665-8235,Interlagos,5,2,https://www.google.com/maps/search/?api=1&query=Charles%20Cabeleireiros&query_place_id=ChIJM1y_G9dPzpQRpjZahutoNYc,,Não contactado,,,,,
Barbearia le cortes,+55 11 94808-0307,Vargem Grande,5,69,https://www.google.com/maps/search/?api=1&query=Barbearia%20le%20cortes&query_place_id=ChIJt6QRbY83zpQRbgk2hfwNqgY,,Não contactado,,,,,
Barbearia Wendel Cortes,+55 11 98371-2604,Jardim Silveira,4.8,13,https://www.google.com/maps/search/?api=1&query=Barbearia%20Wendel%20Cortes&query_place_id=ChIJe__E4C02zpQRaaqrBM67U_U,,Não contactado,,,,,
Barbearia Senna - Carlinhos,+55 11 99539-3355,Jardim Novo Parelheiros,4.9,21,https://www.google.com/maps/search/?api=1&query=Barbearia%20Senna%20-%20Carlinhos&query_place_id=ChIJeQpnuK5JzpQR4Xy6c2Zlg5U,,Não contactado,,,,,
Barbearia Thiago correia,+55 11 91309-1551,Colônia (Zona Sul),3.8,4,https://www.google.com/maps/search/?api=1&query=Barbearia%20Thiago%20correia&query_place_id=ChIJsVmTuEA3zpQREXZPwIRkUTs,,Não contactado,,,,,
BARBEARIA BLACK’S,+55 11 98583-9783,Chácara São Silvestre,5,9,https://www.google.com/maps/search/?api=1&query=BARBEARIA%20BLACK%E2%80%99S&query_place_id=ChIJTYbXhFBJzpQRkFj99iP3A3M,,Não contactado,,,,,
BARBEARIA ( BRUNOO_CORTES ),+55 11 94310-6780,Parada Cinquenta e Sete,5,11,https://www.google.com/maps/search/?api=1&query=BARBEARIA%20(%20BRUNOO_CORTES%20)&query_place_id=ChIJtWEidwA3zpQRURCPi_jLFsw,,Não contactado,,,,,
Barbearia Asgard,+55 11 91978-2909,Colônia (Zona Sul),5,1,https://www.google.com/maps/search/?api=1&query=Barbearia%20Asgard&query_place_id=ChIJ9_D4VxM3zpQRB_JhkVqzZI4,,Não contactado,,,,,
"Smokman - Barbearia, Outlet, Tabacaria e Loja",+55 11 95909-4726,Colônia (Zona Sul),4.6,5,https://www.google.com/maps/search/?api=1&query=Smokman%20-%20Barbearia%2C%20Outlet%2C%20Tabacaria%20e%20Loja&query_place_id=ChIJA62KiRVJzpQRjSx2AwOsBbw,,Não contactado,,,,,
Geraldo Barbearia Mooca,+55 11 98148-8416,Vila Prudente,4.9,64,https://www.google.com/maps/search/?api=1&query=Geraldo%20Barbearia%20Mooca&query_place_id=ChIJf_Ph5nRdzpQRfb_Jh0-flhE,,Não contactado,,,,,
Barbearia_33,+55 11 93249-7453,Alto da Mooca,5,44,https://www.google.com/maps/search/?api=1&query=Barbearia_33&query_place_id=ChIJaaYv0qZZzpQRQWQ769UGZ1s,,Não contactado,,,,,
Barbearia El Don Marttin,+55 11 94642-1547,Alto da Mooca,5,43,https://www.google.com/maps/search/?api=1&query=Barbearia%20El%20Don%20Marttin&query_place_id=ChIJhf6K45dfzpQR3s4laBMkoyE,,Não contactado,,,,,
BARBEARIA J.A,+55 11 96745-7978,Alto da Mooca,4.8,131,https://www.google.com/maps/search/?api=1&query=BARBEARIA%20J.A&query_place_id=ChIJ7233zKhezpQRyV7LHLMC_2Y,,Não contactado,,,,,
Falconi Barbearia,+55 11 96339-0146,Mooca,5,48,https://www.google.com/maps/search/?api=1&query=Falconi%20Barbearia&query_place_id=ChIJK1RkaLlfzpQRoJrpUk7964A,,Não contactado,,,,,
Well O Barba,+55 11 96425-2956,Parque da Mooca,4.9,23,https://www.google.com/maps/search/?api=1&query=Well%20O%20Barba&query_place_id=ChIJ4YcJGSNfzpQR7F-UTBtBIGo,,Não contactado,,,,,
Herbert Barbearia,+55 11 95132-2198,Parque da Mooca,5,35,https://www.google.com/maps/search/?api=1&query=Herbert%20Barbearia&query_place_id=ChIJ12jbrKtezpQRMF_RSMMofSY,,Não contactado,,,,,
Barbearia Dom João Joaquim!,+55 11 94946-6211,Jardim São Paulo,5,133,https://www.google.com/maps/search/?api=1&query=Barbearia%20Dom%20Jo%C3%A3o%20Joaquim!&query_place_id=ChIJPyQvfSH2zpQRybOqV3Rve4I,,Não contactado,,,,,
SOHO Hair Trianon Salão de Beleza,+55 11 3288-7718,Jardim Paulista,4.6,382,https://www.google.com/maps/search/?api=1&query=SOHO%20Hair%20Trianon%20Sal%C3%A3o%20de%20Beleza&query_place_id=ChIJneGBxM1ZzpQRa-kSvlXRkg8,,Não contactado,,,,,
Espaço NG Salão de Beleza,+55 11 98528-0190,Pinheiros,4.7,111,https://www.google.com/maps/search/?api=1&query=Espa%C3%A7o%20NG%20Sal%C3%A3o%20de%20Beleza&query_place_id=ChIJnY6apKNXzpQRZSkB87rTIuY,,Não contactado,,,,,
BARBEIRORIGINAL desde de 1999 na Mooca Bello,+55 11 96700-6609,Mooca,5,2,https://www.google.com/maps/search/?api=1&query=BARBEIRORIGINAL%20desde%20de%201999%20na%20Mooca%20Bello&query_place_id=ChIJy1mh61ZZzpQRWoQU7ECweL4,,Não contactado,,,,,
BARBEARIA BOINAS,+55 11 94934-7759,Mooca,5,32,https://www.google.com/maps/search/?api=1&query=BARBEARIA%20BOINAS&query_place_id=ChIJm2DytRZdzpQRtbPdJ9P1suU,,Não contactado,,,,,
Família Ramos Cabelo & Barba,+55 11 2601-7822,Parque da Mooca,4.9,126,https://www.google.com/maps/search/?api=1&query=Fam%C3%ADlia%20Ramos%20Cabelo%20%26%20Barba&query_place_id=ChIJAQDEnVNZzpQRWcfNbrDwdeg,,Não contactado,,,,,
JMAL Barbearia,+55 11 96254-7557,Mooca,,,https://www.google.com/maps/search/?api=1&query=JMAL%20Barbearia&query_place_id=ChIJ22o1QqBZzpQRTgJERsqsKIQ,,Não contactado,,,,,
Barbeiro Marcelo,+55 11 98885-8819,Mooca,,,https://www.google.com/maps/search/?api=1&query=Barbeiro%20Marcelo&query_place_id=ChIJC4rfs7BZzpQRUlZUvwh-9tk,,Não contactado,,,,,
Gk Barbearia,+55 11 99141-6734,Vila Oratorio,5,43,https://www.google.com/maps/search/?api=1&query=Gk%20Barbearia&query_place_id=ChIJwXmLv-9dzpQRdwcBVkE2OGM,,Não contactado,,,,,
Marcio Neves Barbearia,+55 11 97050-8716,Jardim Brasil (Zona Norte),5,20,https://www.google.com/maps/search/?api=1&query=Marcio%20Neves%20Barbearia&query_place_id=ChIJla3UB_T1zpQR4RqH8S-up8M,,Não contactado,,,,,
Barbearia Sanches,+55 11 95864-7451,Conjunto Habitacional A. E. Carvalho,4.4,7,https://www.google.com/maps/search/?api=1&query=Barbearia%20Sanches&query_place_id=ChIJ4QVmzTNhzpQRQsP_HRjM7uE,,Não contactado,,,,,
La Derani Concept,+55 11 2618-3326,Mooca,4.1,204,https://www.google.com/maps/search/?api=1&query=La%20Derani%20Concept&query_place_id=ChIJD7msmjdZzpQRUCSG8ui_DtM,,Não contactado,,,,,
Teruya,+55 11 2647-3209,Penha de França,4.1,167,https://www.google.com/maps/search/?api=1&query=Teruya&query_place_id=ChIJK3VIX1FezpQR8J1i8imYt6o,,Não contactado,,,,,
PEDRO SIMÕES BARBER SHOP,+55 11 98909-0861,Vila Romana,4.9,124,https://www.google.com/maps/search/?api=1&query=PEDRO%20SIM%C3%95ES%20BARBER%20SHOP&query_place_id=ChIJwxVIaWD5zpQRfLK0_xKHUq8,,Não contactado,,,,,
Barbearia Madeira na Lata,+55 11 96034-3011,Jardim Santo Elias,4.8,266,https://www.google.com/maps/search/?api=1&query=Barbearia%20Madeira%20na%20Lata&query_place_id=ChIJf1B9NS35zpQRTMY-4nLGt9M,,Não contactado,,,,,
Lucas barbearia,+55 11 98086-5767,Vila Pirajussara,5,3,https://www.google.com/maps/search/?api=1&query=Lucas%20barbearia&query_place_id=ChIJwdXCNRtTzpQRxel6W6rTeFg,,Não contactado,,,,,
Escola de Cabeleireiros Similares Teruya,+55 11 3333-3308,Campos Elíseos,4.2,169,https://www.google.com/maps/search/?api=1&query=Escola%20de%20Cabeleireiros%20Similares%20Teruya&query_place_id=ChIJG6aW-lBYzpQRw7mtRmQUclw,,Não contactado,,,,,
Barber Studio Z+,+55 11 96085-0721,Lapa,5,2,https://www.google.com/maps/search/?api=1&query=Barber%20Studio%20Z%2B&query_place_id=ChIJLXBQjbn5zpQRd-ipkkOH2dw,,Não contactado,,,,,
Barbearia Moran,+55 11 94701-9441,Lapa,3.4,25,https://www.google.com/maps/search/?api=1&query=Barbearia%20Moran&query_place_id=ChIJldCYtttXzpQRFWpPn6kW2-Q,,Não contactado,,,,,
Barbearia Five Star,+55 11 98380-3414,Lapa,5,1,https://www.google.com/maps/search/?api=1&query=Barbearia%20Five%20Star&query_place_id=ChIJacmH4rD5zpQRFl0upkNg38k,,Não contactado,,,,,
Nova Era - Cabeleireiros Unissex,+55 11 3872-5531,Lapa,4.9,81,https://www.google.com/maps/search/?api=1&query=Nova%20Era%20-%20Cabeleireiros%20Unissex&query_place_id=ChIJ0aciZGP4zpQRy7CHdrP7n9U,,Não contactado,,,,,
Barbearia,+55 11 99462-1247,Lapa,4.6,14,https://www.google.com/maps/search/?api=1&query=Barbearia&query_place_id=ChIJFa23cnv4zpQRh_t5B8EWQNc,,Não contactado,,,,,
Midia Cortes,+55 11 98033-3422,Lapa,4,8,https://www.google.com/maps/search/?api=1&query=Midia%20Cortes&query_place_id=ChIJIU70rGX4zpQRn4QY3CBT0dg,,Não contactado,,,,,
Wilson Barbearia,+55 11 96818-0770,Alto da Lapa,5,4,https://www.google.com/maps/search/?api=1&query=Wilson%20Barbearia&query_place_id=ChIJm-WFzHz4zpQRn23I8C0CT2Y,,Não contactado,,,,,
Homem Barba,+55 11 93902-0838,Lapa de Baixo,,,https://www.google.com/maps/search/?api=1&query=Homem%20Barba&query_place_id=ChIJ-QSC3Fz4zpQRBpkgPi8FjJs,,Não contactado,,,,,
WP Cursos de Barbeiros,+55 11 95449-7408,Lapa,5,22,https://www.google.com/maps/search/?api=1&query=WP%20Cursos%20de%20Barbeiros&query_place_id=ChIJrRJM2Mr5zpQRhPzb7ZNYYK8,,Não contactado,,,,,
Salão Messias,+55 11 3673-8954,Lapa,5,4,https://www.google.com/maps/search/?api=1&query=Sal%C3%A3o%20Messias&query_place_id=ChIJ6WuwkyX5zpQRaIOC_UyWL8g,,Não contactado,,,,,
D7 Barbershop - Barbearia na região Perdizes - Barra Funda - Lapa - Agua Branca,+55 11 97013-2574,Perdizes,5,38,https://www.google.com/maps/search/?api=1&query=D7%20Barbershop%20-%20Barbearia%20na%20regi%C3%A3o%20Perdizes%20-%20Barra%20Funda%20-%20Lapa%20-%20Agua%20Branca&query_place_id=ChIJB0AeOxFZzpQRO8iOlyXP3bU,,Não contactado,,,,,
Studio Scissors,+55 11 98066-6693,Lapa,5,23,https://www.google.com/maps/search/?api=1&query=Studio%20Scissors&query_place_id=ChIJjyprRAD5zpQRmDNntafQvq8,,Não contactado,,,,,
NS salão & Barbearia,+55 11 97822-8556,Lapa,5,16,https://www.google.com/maps/search/?api=1&query=NS%20sal%C3%A3o%20%26%20Barbearia&query_place_id=ChIJm2Yf0yn5zpQR2pHKsmxqbRM,,Não contactado,,,,,
Rei da Tesourinha - Pompeia,+55 11 94193-6182,Lapa,5,33,https://www.google.com/maps/search/?api=1&query=Rei%20da%20Tesourinha%20-%20Pompeia&query_place_id=ChIJk5fzVQD5zpQRQajMkkyL8NI,,Não contactado,,,,,
Barbearia da Vila,+55 11 95434-3495,Vila Liviero,4.8,47,https://www.google.com/maps/search/?api=1&query=Barbearia%20da%20Vila&query_place_id=ChIJjQhVkqxEzpQRADppLeFk388,,Não contactado,,,,,
Barbearia Pegasus,+55 11 96069-5468,Jardim Vila Carrao,4.8,22,https://www.google.com/maps/search/?api=1&query=Barbearia%20Pegasus&query_place_id=ChIJMdBxgZZozpQRbFfmJJBnomg,,Não contactado,,,,,
Barbearia do Cunhado,+55 11 96718-4878,Jardim Vila Carrao,4.7,6,https://www.google.com/maps/search/?api=1&query=Barbearia%20do%20Cunhado&query_place_id=ChIJhZkBMippzpQRsnn3A1NW-UI,,Não contactado,,,,,
Barbearia PEGASUS,+55 11 96995-2666,Jardim Vila Carrao,4.7,14,https://www.google.com/maps/search/?api=1&query=Barbearia%20PEGASUS&query_place_id=ChIJ_cIgnJZozpQRY7sXfclZt7s,,Não contactado,,,,,
Barbearia São Mateus,+55 11 3741-6917,Jardim Vila Carrao,,,https://www.google.com/maps/search/?api=1&query=Barbearia%20S%C3%A3o%20Mateus&query_place_id=ChIJ4RNi9sppzpQRP3BqAAi34v8,,Não contactado,,,,,
Barbearia Mariana Rodrigues,+55 11 97734-0885,Vila Antonieta,,,https://www.google.com/maps/search/?api=1&query=Barbearia%20Mariana%20Rodrigues&query_place_id=ChIJsxJO-ghnzpQRKZai_YB25Q8,,Não contactado,,,,,
Jhonny barbeiro,+55 11 96883-0381,Vila Mariana,5,33,https://www.google.com/maps/search/?api=1&query=Jhonny%20barbeiro&query_place_id=ChIJefhQnERbzpQRO07bjYledxw,,Não contactado,,,,,
Salão Chiquinho,+55 11 5549-8371,Vila Mariana,4.6,242,https://www.google.com/maps/search/?api=1&query=Sal%C3%A3o%20Chiquinho&query_place_id=ChIJ1ckjbYhZzpQRiFPVfc6BpEI,,Não contactado,,,,,
Salão União,+55 11 97412-3925,Vila Mariana,4.8,46,https://www.google.com/maps/search/?api=1&query=Sal%C3%A3o%20Uni%C3%A3o&query_place_id=ChIJr5w_4YFZzpQRf8Phfm9e1Ws,,Não contactado,,,,,
barbearia_agnaldo_silva,+55 11 96286-1320,Vila Mariana,5,2,https://www.google.com/maps/search/?api=1&query=barbearia_agnaldo_silva&query_place_id=ChIJ0b8fTbRbzpQRfXp4auaHLZo,,Não contactado,,,,,
JN Carvalho,+55 11 98613-4003,Vila Mariana,4.9,30,https://www.google.com/maps/search/?api=1&query=JN%20Carvalho&query_place_id=ChIJ-Tbifi9bzpQRMfJy-GqSNgQ,,Não contactado,,,,,
Barbearia Machado de Assis,+55 11 96651-6472,Vila Mariana,4.7,27,https://www.google.com/maps/search/?api=1&query=Barbearia%20Machado%20de%20Assis&query_place_id=ChIJ4UIm0INZzpQR3kIQ0xjRY5Q,,Não contactado,,,,,
Barbearia Dom Alex,+55 11 97617-1021,Vila Mariana,4.6,34,https://www.google.com/maps/search/?api=1&query=Barbearia%20Dom%20Alex&query_place_id=ChIJtfOU7UJZzpQRbyO-Sr4drZI,,Não contactado,,,,,
Barbearia Rogério Cardoso,+55 11 93960-1098,Vila Clementino,5,225,https://www.google.com/maps/search/?api=1&query=Barbearia%20Rog%C3%A9rio%20Cardoso&query_place_id=ChIJC2QovHlbzpQRTmAJfkecgR4,,Não contactado,,,,,